scenario,incidental_opex_kEUR,shadow_price_avg_kEUR_per_MWh,shadow_price_p50_kEUR_per_MWh,lcoe_total_kEUR_per_MWh,electricity_sold_MWh,electricity_revenue_kEUR,capex_proxy_kEUR
default,4732912.1273164209,0.029063356162949475,-0.00099999999921798386,0.010748718245278437,389105080,5500365.1846719496,123838197
less_generation,695424.74749180302,0.20086507262760062,0.25,0.065035732608038507,1273462.8192,216336.19099699246,42712642.557300001
more_vres,49725.333641666148,0.0075640149442170578,0.0079824517986849929,0.0046165682466345294,1600632,11819.533869965739,70311510.320299998
surplus_to_battery,3659137.7698426335,0.027791902030392678,-0.00099999999532012288,0.0085351457559533755,546339505.85619068,5632636.8450031122,141238197
surplus_to_big_user,4575862.8626960656,0.029458890201859905,-0.00099999946164971531,0.010392050154921203,389105080,5633887.8473093081,123838197
surplus_to_big_user_two_nodes,3587178.5312153809,0.03198573433630774,-0.0009999998749550508,0.0081466907199016902,389105080,6518473.7814662792,123838209
surplus_to_hydrogen,4650246.7435135655,0.0292862647385356,-0.00099999988752461121,0.01056098024685352,389105080,5580512.6739902962,125518209
